human_text,human_text_len
"Forecasting the developing trend of COVID-19 has become a hot topic nowadays. However, two problem exits during training the models on the time series: At the early stage of an outbreak, the limited data are not enough to train a capable model. The outbreak in different regions may have different developing patterns, therefore a single model can’t simulate the pandemic spread in all regions well. Our project aims at providing solution to these problems. Using the time series forecasting models, we propose an approach to predict the trend of an outbreak using data from outbreak in other regions, develop an algorithm for grouping regions sharing similar developing pattern of a pandemic. Our experiments show that our proposed methods can effectively handle those challenges and give decent prediction results. In addition, we build a web application backed by our novel prediction algorithms. The web UI features interactive charts and maps, enabling users to have a clear picture of the ongoing situation of the pandemic.",163
"Pandemics such as Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) or coronavirus disease 2019 (COVID-19) have inserted dramatic influence on people’s health and their normal life globally. World health organization (WHO) declared on 11th March, 2020, the outbreak of COVID-19 as a pandemic. COVID-19 can cause severe respiratory problems and chronic diseases like cardiovascular disease or diabetes. In addition, COVID-19 can spread rapidly among people and symptoms of infected people have a relatively long incubation period before they are noticeable. Even worse, the virus has recently evolved into several variants recently which are more infectious and may resist the effects of current vaccines. The severe illness caused by COVID-19 and its strong infectiousness make it necessary to contain the spread of the virus as soon as possible.",127
"Therefore, this work is motivated to model the spread of COVID-19, which can help governments to manage public policies and arrange medical resources in order to better contain the coronavirus. More specifically, our project implements time series (TS) prediction of daily infected cases. Time series forecasting has been widely studied, which aims at making scientific predictions based on historical time stamped data. Several works have also been conducted on the application to the pandemic forecasting. Among those works, the recurrent neural network (RNN) architecture as a deep-learning model is widely adopted, especially long short-term memory (LSTM). However, those works on time series prediction are faced with two critical challenges: (1) At the early stage of a regional outbreak, there may not be enough historical data to train a capable deep learning model. (2) The outbreak in different regions may have different patterns of development, therefore it may be difficult for a single prediction model to learn and simulate the pandemic spread in all regions.",164
"Therefore, to fill the gaps, our work thus focuses on the early time series prediction of regional outbreaks. This task can be formulated as zero-shot or few-shot time series prediction (discussed in Sec. 2.1). Zero-shot or few-shot stands for the scarcity of available training data. To mitigate the shortage of data, we employ transfer learning. Transfer learning aims to extract the knowledge from one or more source tasks and applies the knowledge to a target task. In our case, we take the leverage of the relatively sufficient data from regions where the pandemic appears earlier. We also propose a grouping algorithm to assign regions of similar pandemic patterns into groups and train a separate model for each group. Additionally, in order to demonstrate our results, we design and implement a web user interface backed by our prediction models.",138
"The aims at providing solution of lack of data problem in the early stage forecasting and an approach to group the regions where the outbreak sharing similar developing patterns. During the project development, the following objectives were focused on:",39
"Among the three objectives, objectives 1 and 2 are the most critical and most innovative parts of our project, which are in fact the solution of questions we’d like to answer in this project. The objective 1 requires the development of algorithm that can evaluate the similarity of pandemic developing trend between different regions. And the objective 2 is based on the assumption that similarity exists between pattern in different regions, which can be proved by the successful achievement of objective 1.",82
"As several pandemics and seasonal influences have caused egregious loss and a staggering number of deaths, a huge number of time series forecasting projects has been conducted to estimate the casualties of epidemics. In this session we will go through some existing projects using different time series forecasting models.",49
"Wang et al. proposed an improved long short-term memory model (LSTM) deep learning method for time series forecasting for the epidemic trends of COVID-19. While the existing LSTM models trained with the total number of reported cases did provide an accurate short-term prediction, these models were not able to provide a long[1]term prediction curve, and they could only predict the rising trend. Therefore, instead of using the total number of cases like the previous research, the number of daily reported cases was used in this project to obtain the long-term prediction curve and predicting the declining trend and the end of epidemic. The data used was the country based daily reported cases between January 22, 2020, and July 7, 2020, collected from John Hopkins university",126
"The learning process of LSTM was improved by adopting a rolling update mechanism. The rolling update mechanism means the training samples are updated using the current prediction result. In the improved learning process, the collected real-time data was put into model, generating the prediction results of daily confirmed cases of the next day. This prediction result was added into the training data and generated the prediction results of daily confirmed cases of day after the next day. This iterative process generated the long-term prediction curve of the daily confirmed cases of COVID-19. According to their paper, the improved LSTM method provided a forecasting result of daily confirmed cases consistent with the real data and an accurate trend of epidemic.",119
"Lai applied three models to monitor the dynamic of SARS: an autoregressive model with order 1, a random walk model, and a combined model of growth curve fitting and autoregressive moving average. The data used was the newly reported SARS cases in mainland China from April 21, 2003, to May 31, 2003, collected from the official reports of the Ministry of Health of China.",64
"The autoregressive made a wrong assumption that the number of new daily reported cases is stationary, resulting in a higher prediction result compared to the actual values. The random walk model trained with the log transformed daily report cases provided a well model of the dynamic of daily reported cases and an accurate short-term prediction of the number of daily reported cases. The growth curve model provides an estimation function for the cumulative number of SARS cases, while the variability exists.",81
"Zhang et al. compared 4 time series models for modeling and predicting the dynamics of epidemic. The models compared are regression model, exponential smoothing model, autoregressive integrated moving average (ARIMA) model, and the support vector machine (SVM) model. The incidence time series of 9 epidemics from 2005 to 2012 collected from Chinese Center for Disease Prevention and Control (CDC) was used in the research.",64
"According to the paper, the SVM model generally outperformed 3 other models due to its ability to handle non-linear relationship and tolerance of complexity. The ARIMA model was able to capture the linear trend of the diseases effectively, however, it could not provide a satisfactory performance on diseases affected by multiple factors, and non-linear relationships existed in some diseases. The regression model and the exponential smoothing model involved less mathematics and statistics thus easier to be understood, and the linear regression model performed better on seasonal epidemics.",87
"A variety of statistical prediction models for time series analysis have been introduced and applied. In [6], the ARIMA model is used and the cases of COVID-19 in Italy, Spain, and France from 21 Feb to 15 April 2020 are studied. The author suggests that ARIMA models are suitable for forecasting the COVID-19 prevalence in the future. Furthermore, a Seasonal ARIMA model is adopted by to forecast cases in Italy with the data till 31st March 2020. Another popular method is the Prophet of Facebook applied the Prophet to predict both confirmed and death cases with the data from WHO from 7th April to 3rd May 2020. Those time series forecasting models have been applied during the study of dynamics of epidemic. These researches are based on data of the whole epidemic period or the period long after the outbreak. However, our project aims at forecasting the trend of epidemic at its early stage using the data of this epidemic in other regions, which can greatly contribute to the evaluation of severity and taking countermeasures when epidemics spread to a new region.",182
